T (K),Cp (J/ mole K)
602.7027027,331.9851611
603.4034034,332.1346809
604.1041041,332.2839509
604.8048048,332.4329721
605.5055055,332.5817454
606.2062062,332.7302717
606.9069069,332.8785521
607.6076076,333.0265873
608.3083083,333.1743783
609.009009,333.321926
609.7097097,333.4692314
610.4104104,333.6162953
611.1111111,333.7631187
611.8118118,333.9097023
612.5125125,334.0560472
613.2132132,334.2021541
613.9139139,334.348024
614.6146146,334.4936578
615.3153153,334.6390562
616.016016,334.7842202
616.7167167,334.9291506
617.4174174,335.0738483
618.1181181,335.2183141
618.8188188,335.3625489
619.5195195,335.5065534
620.2202202,335.6503286
620.9209209,335.7938752
621.6216216,335.9371941
622.3223223,336.0802861
623.023023,336.2231519
623.7237237,336.3657925
624.4244244,336.5082087
625.1251251,336.6504011
625.8258258,336.7923706
626.5265265,336.9341181
627.2272272,337.0756442
627.9279279,337.2169499
628.6286286,337.3580357
629.3293293,337.4989026
630.03003,337.6395513
630.7307307,337.7799826
631.4314314,337.9201972
632.1321321,338.0601958
632.8328328,338.1999793
633.5335335,338.3395484
634.2342342,338.4789038
634.9349349,338.6180463
635.6356356,338.7569765
636.3363363,338.8956953
637.037037,339.0342034
637.7377377,339.1725015
638.4384384,339.3105903
639.1391391,339.4484705
639.8398398,339.5861428
640.5405405,339.723608
641.2412412,339.8608668
641.9419419,339.9979198
642.6426426,340.1347678
643.3433433,340.2714114
644.044044,340.4078514
644.7447447,340.5440884
645.4454454,340.6801231
646.1461461,340.8159562
646.8468468,340.9515884
647.5475475,341.0870203
648.2482482,341.2222527
648.9489489,341.3572861
649.6496496,341.4921213
650.3503504,341.6267589
651.0510511,341.7611995
651.7517518,341.8954439
652.4524525,342.0294926
653.1531532,342.1633463
653.8538539,342.2970057
654.5545546,342.4304714
655.2552553,342.5637439
655.955956,342.6968241
656.6566567,342.8297124
657.3573574,342.9624095
658.0580581,343.0949161
658.7587588,343.2272327
659.4594595,343.35936
660.1601602,343.4912986
660.8608609,343.6230491
661.5615616,343.7546121
662.2622623,343.8859882
662.962963,344.017178
663.6636637,344.1481821
664.3643644,344.2790011
665.0650651,344.4096356
665.7657658,344.5400862
666.4664665,344.6703534
667.1671672,344.8004379
667.8678679,344.9303403
668.5685686,345.060061
669.2692693,345.1896008
669.96997,345.3189601
